IP,CCode,IsExit,IsGuard,Consensus(KB/s),Rate(KiB/s),Burst(KiB/s),MaxObserved(KiB/s),MaxRead(KiB/s),MaxWrite(KiB/s),LinkDown(KiB/s),LinkUp(KiB/s),Load(KiB/s)
199.48.147.35,US,True,True,23,102400,204800,9617,7992,8187,9617,9851,10967
70.39.100.34,US,True,True,6,10240,12288,3188,2544,2544,3188,3188,1026
176.58.124.89,GB,True,True,1,500,750,3911,2729,2780,3911,3984,740
178.18.83.215,NL,True,True,0,200,300,231,200,200,231,231,114
178.216.200.57,PL,False,True,20,512000,512000,18667,6098,6262,18667,19169,8364
46.4.106.18,DE,False,True,9,4000,9000,5003,4000,4000,5003,5003,7070
54.214.246.121,US,False,True,5,5120,10240,3719,2696,2818,3719,3887,1530
176.9.155.157,DE,False,True,2,1000,1500,1239,1000,1000,1239,1239,1592
144.76.34.179,DE,False,True,2,976,976,1165,976,976,1165,1165,1476
188.40.184.87,DE,False,True,1,600,750,724,594,600,724,730,562
81.25.50.166,RU,False,True,1,5000,6000,1554,1325,1316,1564,1554,1677
94.242.209.130,LU,False,True,0,400,800,442,400,400,442,442,310
199.195.193.22,SG,False,True,0,1024,10240,1556,1024,1025,1556,1557,230
5.9.165.86,DE,False,True,0,275,350,328,273,275,328,330,202
54.248.49.228,JP,False,True,0,300,350,340,0,0,340,340,0
65.34.180.58,US,False,True,0,5120,10240,429,215,211,436,429,70
62.152.39.20,RU,True,False,3,7000,8000,2677,1436,1461,2677,2722,429
64.31.47.112,US,True,False,0,200,400,295,200,200,295,295,92
24.209.65.45,US,True,False,0,100,200,220,100,100,220,220,44
177.32.225.29,BR,True,False,0,100,200,125,90,97,125,133,30
212.149.222.235,FI,True,False,0,60,90,103,60,60,103,103,25
212.117.174.60,LU,True,False,0,20,20,21,19,19,21,21,3
77.235.49.235,NL,True,False,0,20,20,20,19,20,20,20,4
192.241.193.25,US,False,False,5,5120,10240,4434,3056,3141,4434,4557,1285
70.85.129.92,US,False,False,2,5120,10240,1647,774,780,1647,1658,15
94.210.163.219,NL,False,False,1,512,1024,653,503,512,653,663,309
109.129.235.172,BE,False,False,0,5120,10240,809,350,381,809,881,50
83.248.143.124,SE,False,False,0,256,256,295,254,256,295,296,144
173.57.135.222,US,False,False,0,192,384,242,187,192,242,248,60
75.108.216.49,US,False,False,0,5120,10240,288,141,177,288,360,38
90.224.14.17,SE,False,False,0,192,384,187,192,124,289,187,29
188.40.20.216,DE,False,False,0,100,200,126,99,100,126,126,34
80.79.118.134,EE,False,False,0,100,200,122,100,99,122,122,24
71.237.182.115,US,False,False,0,100,200,121,99,100,121,121,15
207.210.34.7,CA,False,False,0,192,384,152,94,93,153,152,19
95.31.26.226,RU,False,False,0,100,200,125,100,100,125,125,27
208.38.212.65,US,False,False,0,5120,10240,97,87,87,97,97,21
88.65.16.246,DE,False,False,0,5120,10240,92,43,44,92,92,5
46.28.203.31,CH,False,False,0,75,75,130,75,75,130,130,17
86.33.190.33,AT,False,False,0,200,800,118,61,62,118,119,6
192.95.44.174,CA,False,False,0,50,100,93,50,50,93,93,14
85.214.125.233,DE,False,False,0,400,800,258,147,148,258,258,3
144.85.164.183,CH,False,False,0,35,45,52,5,1,178,52,0
77.253.16.42,PL,False,False,0,64,128,82,64,64,82,82,20
87.172.111.146,DE,False,False,0,50,50,54,48,50,54,55,5
176.63.184.58,HU,False,False,0,40,40,56,6,6,56,57,0
77.223.236.58,PL,False,False,0,5120,10240,64,63,42,96,64,3
124.168.224.126,AU,False,False,0,30,80,37,5,2,85,37,0
54.251.208.180,SG,False,False,0,20,20,53,4,4,59,53,0
